table,constraint,column,parent,prt_col
tagging_tagavailablevalues,tagging_tagavailable_category_id_9cc60a44_fk_tagging_t,category_id,tagging_tagcategories,id
teams_courseteammembership,teams_courseteammemb_team_id_b021eccd_fk_teams_cou,team_id,teams_courseteam,id
teams_courseteammembership,teams_courseteammembership_user_id_18f9ff5d_fk_auth_user_id,user_id,auth_user,id
theming_sitetheme,theming_sitetheme_site_id_fe93d039_fk_django_site_id,site_id,django_site,id
user_api_usercoursetag,user_api_usercoursetag_user_id_106a4cbc_fk_auth_user_id,user_id,auth_user,id
user_api_userorgtag,user_api_userorgtag_user_id_cc0d415d_fk_auth_user_id,user_id,auth_user,id
user_api_userpreference,user_api_userpreference_user_id_68f8a34b_fk_auth_user_id,user_id,auth_user,id
user_api_userretirementpartnerreportingstatus,user_api_userretirem_user_id_272c8f78_fk_auth_user,user_id,auth_user,id
user_api_userretirementrequest,user_api_userretirementrequest_user_id_7f7ca22f_fk_auth_user_id,user_id,auth_user,id
user_api_userretirementstatus,user_api_userretirem_current_state_id_e37bb094_fk_user_api_,current_state_id,user_api_retirementstate,id
user_api_userretirementstatus,user_api_userretirem_last_state_id_359e74cd_fk_user_api_,last_state_id,user_api_retirementstate,id
user_api_userretirementstatus,user_api_userretirementstatus_user_id_aca4dc7b_fk_auth_user_id,user_id,auth_user,id
util_ratelimitconfiguration,util_ratelimitconfig_changed_by_id_794ac118_fk_auth_user,changed_by_id,auth_user,id
verified_track_content_migrateverifiedtrackcohortssetting,verified_track_conte_changed_by_id_29944bff_fk_auth_user,changed_by_id,auth_user,id
verify_student_manualverification,verify_student_manua_user_id_f38b72b4_fk_auth_user,user_id,auth_user,id
verify_student_softwaresecurephotoverification,verify_student_softw_copy_id_photo_from_i_059e40b6_fk_verify_st,copy_id_photo_from_id,verify_student_softwaresecurephotoverification,id
verify_student_softwaresecurephotoverification,verify_student_softw_reviewing_user_id_55fd003a_fk_auth_user,reviewing_user_id,auth_user,id
